handle,title,vendor,product_type,status,price,compare_at_price,sku,stock,age,occasions,play,subcategories,features,collections,all_tags,image,url,seo_title,seo_description,description
glitter-squishy-dumpling,Glitter Squishy Dumpling in a Steamer Case,The Toy Gift Shop,Sensory & Fidget Toys,DRAFT,1350.00,,TGS-SQUISHY-BUN-STEAMER,23,3-5,"birthday, return-gift",games,Squishies,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-return-gift, sensory-fidget-toys","age:3-5, feature:new, occasion:birthday, occasion:return-gift, play:games, sub:Squishies",,,Glitter Squishy Dumpling Toy in Pakistan | Toy Gift Shop,"Soft glitter squeeze ball with a smiling face, packed in a little bamboo-style steamer case. Colour varies. Delivered across Pakistan, cash on delivery.","Lift the lid off the little steamer basket and there is a dumpling inside with a face on it. The ball is soft and gel-filled, packed with glitter and beads that shift about under a thumb, and it settles back into shape when you let go. The case is part of the toy — it closes over the top, so the dumpling travels in a pencil case or a pocket and comes back out clean. Colours are assigned at random from the range, so the one that arrives may not be the one in the photograph. A good small gift, and a better one for a party bag. Good to know Contains a small ball — keep away from children under three. Squeeze it, don't pierce it; the gel inside is not meant to come out. In the box: one glitter squishy dumpling and its steamer-style case. Colour varies. Gift wrap and a handwritten card can be added on this page; we dispatch gift orders within 48 hours. Delivered across Pakistan in 3–5 working days, sooner in Karachi, Lahore and Islamabad. Cash on delivery available."
grass-frog-light-sound-toy,Grass Frog Light/Sound Toy with Mechanical Drive,The Toy Gift Shop,Novelty & Fun Toys,DRAFT,1750.00,,TGS-GRASS-FROG,1,3-5,"birthday, eid",games,Novelty Toys,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, novelty-fun-toys, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Novelty Toys",,,Grass Frog in Pakistan | Toy Gift Shop,Green Grass Frog toy with light and sound effects. Moves by mechanical gears. For ages 3+. Made of plastic. Includes one toy.,This green frog toy has a transparent body showing internal gears. It moves by a mechanical drive that turns the gears against each other. It produces light and sound effects. The toy is for children aged 3 and up. It is made of plastic and has a small red button on the head.
green-truck-remote-control-toy,Green Truck Toy with Remote Control and Sound,The Toy Gift Shop,RC & Remote Control Toys,DRAFT,5100.00,,TGS-GREEN-TRUCK,1,5-8,"birthday, eid",vehicles,RC Vehicles,new,"age-5-8, all, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid, rc-remote-control-toys","age:5-8, feature:new, occasion:birthday, occasion:eid, play:vehicles, sub:RC Vehicles",,,Green Truck Toy in Pakistan | Toy Gift Shop,Green remote control truck toy with sound and openable door. Ages 3+. Includes remote and batteries. Plastic construction.,This is a green toy truck with a remote control and sound features. It is made of plastic and has a container-style cargo bed. The truck can move forward and backward and has a door that opens. It is designed for children aged 3 and up.
heart-bead-box-jewellery-kit,Heart Bead Box – Jewellery Making Kit,The Toy Gift Shop,"Arts, Crafts & Creative Toys",DRAFT,1050.00,,TGS-HEART-BEAD-BOX,7,3-5,"birthday, eid",build,Art Sets,new,"age-3-5, all, arts-crafts-creative-toys, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:build, sub:Art Sets",,,Heart Bead Box in Pakistan | Toy Gift Shop,"Heart-shaped bead box with four trays of beads, elastic cord and charms for making bracelets.","A heart-shaped case that clips open to four trays of beads: pearls, pastels, brights and clear ones with glitter, with elastic cord and little charms in the middle. Enough to string a few bracelets, and the case keeps it all in one place afterwards."
hedgehog-piano-baby-toy,Hedgehog Piano Baby Toy with Keys and Buttons,The Toy Gift Shop,Musical Toys,DRAFT,1850.00,,TGS-PIANO-HEDGEHOG,1,3-5,"birthday, eid",pretend,Musical Instruments,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, musical-toys, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Musical Instruments",,,Hedgehog Piano Baby Toy in Pakistan | Toy Gift Shop,"Hedgehog Piano Baby Toy with Keys and Buttons. Soft material, 5 modes, hand drum, spinning wheel. For babies 18+ months. Musical toy for hand-eye coordination.","This toy is shaped like a hedgehog with a piano keyboard. It has colorful buttons, a hand drum, and a spinning wheel. The toy plays music and sound effects. It is designed for babies to practice hand-eye coordination."
household-set-mini-appliance-toy,Household Set Mini Appliance Toy,The Toy Gift Shop,Pretend Play & Role Play,DRAFT,1450.00,,TGS-HOUSEHOLD-SET-MINI,6,3-5,"birthday, eid",pretend,Mini Appliances,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid, pretend-play-role-play","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Mini Appliances",,,Household Set Mini Appliance Toy in Pakistan | Toy Gift Shop,Pink Household Set mini appliance toy: choose the vacuum cleaner or the washing machine. Pretend play for ages 3+.,Pink pretend-play appliances from the Household Set range. Choose the vacuum cleaner or the washing machine; each comes in its own pink Household Set box.
huanger-folding-bucket-bath-toys,HUANGER Folding Bucket Bath Toy Set with Accessories,The Toy Gift Shop,Water & Beach Toys,DRAFT,1650.00,,TGS-FOLD-BUCKET-BATH,5,1-3,"birthday, eid",outdoor,Water Play,new,"age-1-3, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid, water-beach-toys","age:1-3, feature:new, occasion:birthday, occasion:eid, play:outdoor, sub:Water Play",,,HUANGER Folding Bucket Bath Toy Set with Accessories | Toy Gift Shop,"HUANGER Folding Bucket Bath Toy Set with accessories for bath time play. Safe, reliable, and folds for storage. Recommended for ages 12 months and up.",This folding bucket bath toy set includes a collapsible bucket and multiple colorful accessories. The bucket is designed to fold for compact storage. It is intended for bath time play and is suitable for children aged 12 months and up. The packaging indicates it is made of safe and reliable materials for baby toys.
huanger-puzzle-phone-dinosaur,Huanger Puzzle Phone – Dinosaur Baby Phone,The Toy Gift Shop,Baby & Toddler Toys,DRAFT,1250.00,,TGS-HUANGER-PUZZLE-PHONE,6,1-3,"birthday, eid",pretend,Baby Activity Toys,new,"age-1-3, all, baby-toddler-toys, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:1-3, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Baby Activity Toys",,,Huanger Puzzle Phone in Pakistan | Toy Gift Shop,"Huanger Puzzle Phone: a dinosaur baby phone with numbered keys, music, animal sounds and a light-up screen. From 18 months.","A Huanger Puzzle Phone shaped like a little green dinosaur. The numbered keys play music, animal sounds and phone tones, with a screen that lights up. The box lists finger, mental, visual and auditory training, from 18 months."
hug-happy-touch-and-teach-words-book,Hug Happy Touch and Teach Words Book Early Education Baby Toy,The Toy Gift Shop,Educational Toys,DRAFT,5850.00,,TGS-TOUCH-TEACH-WORDS,1,3-5,"birthday, eid",build,Learning Toys,new,"age-3-5, all, best-sellers, big-gifts, educational-toys, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:build, sub:Learning Toys",,,Touch and Teach Words Book in Pakistan | Toy Gift Shop,"Hug Happy Touch and Teach Words Book. Interactive early education toy for babies and toddlers. Learn words, numbers, and animals with touch screen, music, and speaker.","This is a colorful, interactive toy book with a handle and a page-turning slot. It has a touch screen with buttons for learning words, numbers, and animals. It includes a music key, a volume switch, and a speaker. It is designed for early education and is suitable for babies and toddlers."
inflatable-lounger-sofa-single-size,Inflatable Lounger Sofa - Single Size,The Toy Gift Shop,Novelty & Fun Toys,DRAFT,7650.00,,TGS-INFLATABL-SOFA-LOUNGER,1,3-5,"birthday, eid",games,Novelty Toys,new,"age-3-5, all, best-sellers, big-gifts, new-in, novelty-fun-toys, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Novelty Toys",,,Inflatable Lounger Sofa in Pakistan | Toy Gift Shop,Inflatable lounger sofa for single use. Perfect for outdoor fun on grass. Inflates easily for comfortable seating. Ideal for kids and teens.,"This is an inflatable lounger sofa designed for single use. It inflates to provide a soft, cushioned seating area. It is intended for outdoor use on grass or other flat surfaces. The product is shown in multiple colors on the packaging."
inflatable-round-sofa-chair-single-size,Inflatable Round Sofa Chair - Single Size,The Toy Gift Shop,Novelty & Fun Toys,DRAFT,5500.00,,TGS-INFLATABL-SOFA-ROUND,1,3-5,"birthday, eid",games,Novelty Toys,new,"age-3-5, all, best-sellers, big-gifts, new-in, novelty-fun-toys, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Novelty Toys",,,Inflatable Round Sofa Chair in Pakistan | Toy Gift Shop,"Inflatable round sofa chair for single use. Soft, flexible material. Includes pump. For indoor and outdoor casual seating.","This is an inflatable round sofa chair designed for single use. It inflates using a pump and deflates for storage. The chair is made of a soft, flexible material. It is intended for casual seating in indoor or outdoor settings."
intelligence-learning-game-educational-toy,"Intelligence Learning Game – Letters, Words, Numbers and Sounds",The Toy Gift Shop,Educational Toys,DRAFT,4150.00,,TGS-INTELLIGE-LEARNING,2,3-5,"birthday, eid",build,Learning Toys,new,"age-3-5, all, best-sellers, educational-toys, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:build, sub:Learning Toys",,,Intelligence Learning Game in Pakistan | Toy Gift Shop,"Educational toy for children aged 3+ to learn alphabet, numbers, and animals. Features a keyboard, speaker, and colorful design. Made of plastic.","A Guan Sheng Intelligence Learning Game tablet. The box lists two ask modes, where it asks the child to find the right letter A–Z, a number 0–9 or a whole word, and three play modes for entering letters with numbers, spelling out a word, and adding music, animal voices and sound effects. Ages 3+."
intex-aquaflow-swim-cap,Intex AquaFlow Swim Cap for Ages 8+,The Toy Gift Shop,Water & Beach Toys,DRAFT,1340.00,,TGS-AQUAFLOW-SWIM-CAP,5,8+,"birthday, eid",outdoor,Swim Gear,new,"age-8-plus, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid, water-beach-toys","age:8+, feature:new, occasion:birthday, occasion:eid, play:outdoor, sub:Swim Gear",,,Aquaflow Swim Cap in Pakistan | Toy Gift Shop,"Intex AquaFlow swim cap for children aged 8 and up. Latex-free, flexible swim cap to keep hair out of water. Packaged with one cap.","An Intex AquaFlow swim cap, model #55992. Latex free, stretchy, and it keeps hair out of your face in the pool. Ages 8+ as printed on the box."
jellyfish-bump-and-go-dancing-toy,Jellyfish Bump and Go Dancing Toy,The Toy Gift Shop,Animal & Dinosaur Toys,DRAFT,1850.00,,TGS-JELLYFISH-BUMP-GO,1,3-5,"birthday, eid",pretend,Animal Figures,new,"age-3-5, all, animal-dinosaur-toys, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Animal Figures",,,Jellyfish Bump and Go Dancing Toy in Pakistan | Toy Gift Shop,Jellyfish Bump and Go Dancing Toy. Twist to make it dance. Soft plastic jellyfish with headphones. For children to play with.,"This is a jellyfish-shaped toy with a twist mechanism. It has a soft plastic body, large eyes, and headphones. When twisted, it moves and dances. It is designed for children to play with by bumping it."
jenga-classic-game,Jenga Classic Wooden Block Stacking Game,The Toy Gift Shop,Board Games,DRAFT,2900.00,,TGS-JENGA,2,5-8,"birthday, eid",games,Family Board Games,new,"age-5-8, all, best-sellers, board-games, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",,,Jenga Classic Wooden Block Game in Pakistan | Toy Gift Shop,Jenga classic wooden block stacking game by Hasbro. 54 genuine wood blocks. Ages 6+.,"The classic Jenga wooden block stacking game by Hasbro. Pull a block, stack it on top, and see how far the tower can go before it crashes. For ages 6 and up."
jumbo-sequence-game,Jumbo Sequence Game with Jumbo Size Playing Mat,The Toy Gift Shop,Board Games,DRAFT,2850.00,,TGS-JUMBO-SEQUENCE,3,5-8,"birthday, eid",games,Family Board Games,new,"age-5-8, all, best-sellers, board-games, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",,,Jumbo Sequence Game in Pakistan | Toy Gift Shop,Jumbo Sequence strategy game with a jumbo-size playing mat. Ages 7+.,"Jumbo Sequence, a large-format version of the classic Sequence strategy game with a jumbo playing mat (32 x 27 inch). Place a card, place a chip on the matching space, and be first to complete a row of five. For ages 7 and up."
junior-pictionary-game,Junior Pictionary - The Game of Quick Draw for Kids,The Toy Gift Shop,Board Games,DRAFT,2850.00,,TGS-JR-PICTIONARY,1,5-8,"birthday, eid",games,Family Board Games,new,"age-5-8, all, best-sellers, board-games, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",,,Junior Pictionary Game in Pakistan | Toy Gift Shop,"Junior Pictionary, the game of quick draw for kids. Ages 7+.","Junior Pictionary, the game of quick draw for kids. Draw clues from cards and get your team to guess before time runs out. For ages 7 and up."
kids-kitchen-toy-dishwasher,Kids Kitchen Toy Dishwasher with Sound and Lights,The Toy Gift Shop,Pretend Play & Role Play,DRAFT,5500.00,,TGS-DISHWASHE,1,3-5,"birthday, eid",pretend,Mini Appliances,new,"age-3-5, all, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid, pretend-play-role-play","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Mini Appliances",,,Toy Dishwasher Play Set in Pakistan | Toy Gift Shop,A pretend play dishwasher for children 3+ with sound and lights. Simulates washing dishes and teaches about kitchen appliances through play.,"This toy dishwasher is a pretend play appliance for children. It has a digital display, buttons, and a transparent door showing a rack inside. It makes sounds and lights up during play. The toy is designed for children to simulate washing dishes and learn about kitchen appliances."
kids-tool-drill-set,Kids Tool Drill Set with Accessories,The Toy Gift Shop,Pretend Play & Role Play,DRAFT,3850.00,,TGS-TOOL-DRILL,1,3-5,"birthday, eid",pretend,Role Play Sets,new,"age-3-5, all, best-sellers, gifts-under-5000, new-in, occasion-birthday, occasion-eid, pretend-play-role-play","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Role Play Sets",,,Kids Tool Drill Set in Pakistan | Toy Gift Shop,"Kids Tool Drill Set with 3 bits, ruler, and tool card. Ages 3+. Plastic pretend play tool set for role play.","This is a toy drill set designed for pretend play. It includes a drill body, three drill bits, a ruler, and a tool card. The drill is made of plastic and has a trigger that can be pressed. It is intended for children aged 3 and up."
king-of-fighters-kyo-kusanagi-figure,The King of Fighters Kyo Kusanagi Action Figure,The Toy Gift Shop,Action Figures & Characters,DRAFT,1990.00,,TGS-FIGHTERS-FIGURE,3,8+,"birthday, eid",pretend,Action Figures,new,"action-figures-characters, age-8-plus, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:8+, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Action Figures",,,King Of Fighters Figure in Pakistan | Toy Gift Shop,"The King of Fighters Kyo Kusanagi action figure. Made of hard plastic, poseable, includes one accessory, for ages 15+.","A collectible figure of Kyo Kusanagi from The King of Fighters, in his fighting pose on a round black display base, with a flame effect piece. Made for display. The box says ages 15+ and contains small parts."
kpop-demon-hunters-beauty-girl-makeup-case,KPop Demon Hunters Beauty Girl Makeup Case,The Toy Gift Shop,Pretend Play & Role Play,DRAFT,2850.00,,TGS-BEAUTY-GIRL-MAKEUP,6,3-5,"birthday, eid",pretend,Makeup Sets,new,"age-3-5, all, best-sellers, gifts-under-5000, new-in, occasion-birthday, occasion-eid, pretend-play-role-play","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Makeup Sets",,,Beauty Girl Makeup Case in Pakistan | Toy Gift Shop,Pink glitter makeup case with pretend makeup items for pretend play. Ages 3+. Includes 12 accessories. KPOP DEMON HUNTERS brand.,"A pink glitter makeup case with a metal handle and a zip-around lid, printed with the KPop Demon Hunters Beauty Girl artwork. Inside there is a filled palette of eyeshadows, glitters and lip colours, with applicators, a nail polish and a hair bow. Ages 3+ as printed on the case."
kuromi-15th-anniversary-art-painting-set,Kuromi 15th Anniversary Art Case – Cheeky but Charming,The Toy Gift Shop,"Arts, Crafts & Creative Toys",DRAFT,5800.00,,TGS-DELUXE-ART-PAINT,2,3-5,"birthday, eid",build,Art Sets,new,"age-3-5, all, arts-crafts-creative-toys, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:build, sub:Art Sets",,,Kuromi 15th Anniversary Art Painting Set Case | Toy Gift Shop,"Kuromi 15th Anniversary pink aluminium art case filled with coloured pencils, watercolour paints, brushes and palettes.","A pink aluminium art case with a metal frame, latches and a carry handle, printed with the Kuromi 15th Anniversary artwork and the line Cheeky but charming. Open it up and the trays hold coloured pencils, watercolour paints, brushes, palettes and erasers, so the whole kit travels together."
kuromi-character-night-light,Kuromi Character Night Light with USB Cable,The Toy Gift Shop,Novelty & Fun Toys,DRAFT,2850.00,,TGS-KUROMI-NIGHT-LIGHT,5,3-5,"birthday, eid",games,Night Lights,new,"age-3-5, all, best-sellers, gifts-under-5000, new-in, novelty-fun-toys, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Night Lights",,,Kuromi Character Night Light in Pakistan | Toy Gift Shop,"Kuromi character night light toy with USB cable for children's rooms. Soft plastic, plugs into outlet, ideal for kids aged 3+.","A Kuromi-style character night light from Curemi, model ZH-165: a soft squishy head that glows warmly when you press it. It runs from the USB cable, so it suits a bedside table or a desk."
kuromi-makeup-case,Kuromi Makeup Case with 30+ Accessories,The Toy Gift Shop,Pretend Play & Role Play,DRAFT,5850.00,,TGS-MAKEUP-CASE,2,3-5,"birthday, eid",pretend,Makeup Sets,new,"age-3-5, all, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid, pretend-play-role-play","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Makeup Sets",,,Kuromi Makeup Case in Pakistan | Toy Gift Shop,Kuromi Makeup Case with 30+ pretend play accessories. Plastic case with mirror and storage. For ages 3+. Toy makeup set for pretend play.,"This toy makeup case features Kuromi characters and includes 30+ pretend play accessories. It opens to reveal compartments for brushes, nail polish, and other cosmetic items. The case is made of plastic with a printed design and has a handle for carrying. It is intended for children to play pretend makeup."
kuromi-moon-light-lamp,Kuromi Moon Light Lamp,The Toy Gift Shop,Novelty & Fun Toys,DRAFT,2600.00,,TGS-KUROMI-MOON-LAMP,3,3-5,"birthday, eid",games,Night Lights,"gift-ready, new","age-3-5, all, best-sellers, gifts-under-5000, new-in, novelty-fun-toys, occasion-birthday, occasion-eid","age:3-5, feature:gift-ready, feature:new, occasion:birthday, occasion:eid, play:games, sub:Night Lights",,,Kuromi Moon Light Lamp in Pakistan | Toy Gift Shop,"Rechargeable Moonlit lamp — a frosted glitter crescent moon on a cloud base with a Kuromi figure. Charges over USB-C. Delivered across Pakistan, cash on delivery.","A crescent moon in frosted pink glitter, resting on a little cloud, with Kuromi perched in the curve of it. Switched on, the glitter catches the light and the whole moon glows soft rather than bright — enough to find the door by, not enough to wake anyone. It charges over USB-C and runs on its own battery, so it moves from the bedside table to a shelf, or goes in a bag for a night at a cousin's house. The box puts it better than we can: starry lights, cosy nights. Good to know Charges over USB-C and holds its own battery — keep it away from water. A bedside light rather than a plaything; an adult should handle the charging. In the box: Kuromi moon light lamp with cloud base. Gift wrap and a handwritten card can be added on this page; we dispatch gift orders within 48 hours. Delivered across Pakistan in 3–5 working days, sooner in Karachi, Lahore and Islamabad. Cash on delivery available."
kuromi-pop-figures-set-of-4,Kuromi Pop! Figures - Set of 4 Collectible Vinyl Figures,The Toy Gift Shop,Action Figures & Characters,DRAFT,3860.00,,TGS-POP-FIGURES,1,3-5,"birthday, eid",pretend,Action Figures,new,"action-figures-characters, age-3-5, all, best-sellers, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Action Figures",,,Kuromi Pop! Figures in Pakistan | Toy Gift Shop,Set of 4 Kuromi Pop! vinyl figures. Collectible toy figures for ages 3 and up. Great for display or collection.,"This set contains four Kuromi Pop! vinyl figures. Each figure is a stylized, collectible toy with a unique design. The figures are made of vinyl and are intended for display or collection. The packaging indicates they are suitable for ages 3 and up."
labubu-bubble-gun,Labubu Electric Bubble Gun with Lights,The Toy Gift Shop,Outdoor Toys,DRAFT,1450.00,,TGS-BUBBLE-GUN,2,3-5,"birthday, eid",outdoor,Bubble Toys,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid, outdoor-toys","age:3-5, feature:new, occasion:birthday, occasion:eid, play:outdoor, sub:Bubble Toys",,,Labubu Bubble Gun in Pakistan | Toy Gift Shop,"Labubu electric bubble gun with lights, the Labubu character on top and a bubble solution bottle. Ages 3+.","An electric Labubu bubble gun with lights, with the Labubu character sitting on top. Pull the trigger to blow a stream of colourful bubbles from the round nozzle; the bubble solution bottle fits underneath."
lasika-w-f181-digital-watch,Lasika W-F181 Digital Watch,The Toy Gift Shop,Novelty & Fun Toys,DRAFT,1550.00,,TGS-LASIKA-DIGITAL-WATCH,5,3-5,"birthday, eid",games,Gadgets,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, novelty-fun-toys, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Gadgets",,,Lasika Digital Watch in Pakistan | Toy Gift Shop,"Lasika W-F181 digital watch with a slim LCD face and soft strap, in a clear display cube.","A Lasika W-F181 digital watch with a slim rectangular LCD and a soft strap, in a clear display cube. Reads the time at a glance, light on the wrist, and easy for a child to put on."
leding-the-life-diy-acrylic-message-lamp,DIY Acrylic Message Lamp with Colour Markers,The Toy Gift Shop,Novelty & Fun Toys,DRAFT,1250.00,,TGS-ACRYLIC-LED-LAMP,3,3-5,"birthday, eid",games,Night Lights,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, novelty-fun-toys, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Night Lights",,,DIY Acrylic Message Lamp in Pakistan | Toy Gift Shop,"DIY acrylic message lamp: write with the markers and your handwriting glows. 7 markers, cloth and USB cable included.","A round acrylic panel on a lit base: write or draw on it with the markers and the writing glows. The box calls it an acrylic luminescent lamp for handwriting, doodles and notes, and suggests it for birthdays and as a little personal billboard. Wipe the panel with the cloth and start again. Runs from the USB cable."
lightsaber-toy,Lightsaber Toy Sword with Sheath,The Toy Gift Shop,Novelty & Fun Toys,DRAFT,4900.00,,TGS-LIGHTSABE,3,8+,"birthday, eid",games,Novelty Toys,new,"age-8-plus, all, best-sellers, gifts-under-5000, new-in, novelty-fun-toys, occasion-birthday, occasion-eid","age:8+, feature:new, occasion:birthday, occasion:eid, play:games, sub:Novelty Toys",,,Lightsaber in Pakistan | Toy Gift Shop,A toy lightsaber with a black hilt and blade. Extends and retracts. Made of plastic. For imaginative play. Age 14+.,"A black toy sword the box calls a Lightsaber: the blade slides out of its own sheath and pushes back in, with a grey grip and guard. Ages 14+ as printed on the box, so it is one for older children and collectors."
little-helper-simulated-cleaning-kit,Little Helper Simulated Cleaning Kit,The Toy Gift Shop,Pretend Play & Role Play,DRAFT,4250.00,,TGS-LITTLE-HELPER-CLEANING,1,3-5,"birthday, eid",pretend,Cleaning Play Sets,new,"age-3-5, all, best-sellers, gifts-under-5000, new-in, occasion-birthday, occasion-eid, pretend-play-role-play","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Cleaning Play Sets",,,Little Helper Cleaning Kit in Pakistan | Toy Gift Shop,Little Helper Simulated Cleaning Kit for kids aged 3+. Includes yellow bucket and mop with pink cloth head for pretend play.,"This toy cleaning set includes a bucket and mop. The bucket is yellow with a purple rim and white handle. The mop has a white handle, yellow grip, and a pink cloth head. It is designed for children to simulate cleaning activities."
ludo-game-magnetic-board,Ludo Game Magnetic Board,The Toy Gift Shop,Board Games,DRAFT,1450.00,,TGS-LUDO-MAGNETIC-BOARD,1,5-8,"birthday, eid",games,Family Board Games,new,"age-5-8, all, best-sellers, board-games, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",,,Ludo Game Magnetic Board in Pakistan | Toy Gift Shop,Ludo Game Magnetic Board with playing pieces that stay in place. Ages 3+.,A Ludo game with a magnetic board and playing pieces. Classic Ludo gameplay with pieces that stay securely in place. For ages 3 and up.
ludo-magnetic-game-compact,"Ludo Magnetic Game, Compact Folding Board",The Toy Gift Shop,Board Games,DRAFT,1750.00,,TGS-LUDO-COMPACT,2,5-8,"birthday, eid",games,Family Board Games,new,"age-5-8, all, best-sellers, board-games, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",,,Ludo Magnetic Game in Pakistan | Toy Gift Shop,Ludo Magnetic Game with a compact folding board and magnetic pieces. Ages 4+.,"A magnetic Ludo game with a compact folding board and magnetic playing pieces, so pieces stay in place during travel play. For ages 4 and up."
m-206-electric-gel-blaster,M-206 Electric Gel Bead Blaster with Soak Kit,The Toy Gift Shop,Battle & Action Play,DRAFT,5300.00,,TGS-M206-GEL-BLASTER,3,8+,"birthday, eid",games,Battle Play,new,"age-8-plus, all, battle-action-play, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid","age:8+, feature:new, occasion:birthday, occasion:eid, play:games, sub:Battle Play",,,M-206 Electric Gel Bead Blaster with Soak Kit | Toy Gift Shop,"M-206 Electric Toy Gun with Gel Bullet Soak Kit for ages 14+. Includes safety goggles, USB cable, and DIY model gun parts. Perfect for action play.","This electric toy gun is a DIY model gun with a colorful patterned design. It uses gel bullets that are soaked in water before use. The kit includes a USB charging cable, safety goggles, and other accessories. It is designed for ages 14 and up."
magic-wand-crown-tiara,Magic Wand Crown Tiara with Light and Sound,The Toy Gift Shop,Fantasy & Magic Toys,DRAFT,2500.00,,TGS-MAGIC-WAND-CROWN,2,1-3,"birthday, eid",pretend,Magic & Dress-Up,new,"age-1-3, all, best-sellers, fantasy-magic-toys, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:1-3, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Magic & Dress-Up",,,Magic Wand Crown Tiara in Pakistan | Toy Gift Shop,A shiny silver and red crown tiara for pretend play. Press to activate lights and magic sounds. Ages 18 months and up. Perfect for dress-up and fantasy play.,This toy crown tiara is designed for pretend play. It features a shiny silver-colored metal-like finish with a red jewel center. Pressing the crown activates lights and magic sounds. It is intended for children aged 18 months and up.
magical-pony-figure-blue,"Magical Pony Figure with Brushable Hair, Blue",The Toy Gift Shop,Action Figures & Characters,DRAFT,750.00,,TGS-PONY-FIGURE-BLUE,2,3-5,"birthday, eid",pretend,Collectible Figures,new,"action-figures-characters, age-3-5, all, best-sellers, gifts-under-1000, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Collectible Figures",,,Magical Pony Figure with Brushable Hair in Pakistan | Toy Gift Shop,"Magical Pony collectible figure in blue with brushable, glittery hair. Ages 3+.","A blue collectible pony figure with brushable, colourful hair and a glittery mane and tail. Comes in a display box. For ages 3 and up."
